Binomial,Phenology
Carya alba,D
Carya cordiformis,D
Carya floridana,D
Carya glabra,D
Carya illinoinensis,D
Carya laciniosa,D
Carya ovalis,D
Carya ovata,D
Carya pallida,D
Carya tomentosa,D
Caryocar amygdaliforme,EV
Caryocar brasiliense,EV
Caryocar glabrum,EV
Caryocar microcarpum,EV
Caryocar nuciferum,EV
Caryocar pallidum,EV
Caryocar villosum,EV
Caryodaphnopsis fosteri,EV
Caryodaphnopsis tomentosa,EV
Caryodendron orinocense,D
Casearia aculeata,D
Casearia arborea,EV
Casearia arguta,D
Casearia battiscombei,D
Casearia commersoniana,D
Casearia corymbosa,EV
Casearia gossypiosperma,D
Casearia guianensis,EV
Casearia hirsuta,EV
Casearia multinervosa,EV
Casearia nitida,D
Casearia obovalis,D
Casearia prunicerob,EV
Casearia quinduensis,D_EV
Casearia rusbyana,D
Casearia sylvestris,EV
Casearia tacanensis,EV
Casearia uleana,D
Cassia abbreviata,EV
Cassia alata,EV
Cassia arnottiana,EV
Cassia artemisioides,EV
Cassia circinnata,EV
Cassia eremophila,EV
Cassia fasciculata,EV
Cassia fistula,D
Cassia fruticosa,EV
Cassia glutinosa,EV
Cassia grandis,EV
Cassia helmsii,EV
Cassia nemophila,EV
Cassia oligophylla,EV
Cassia phyllodinea,EV
Cassia planitiicola,EV
Cassia reticulata,EV
Cassia sieberiana,D_EV
Cassia undulata,EV
Cassine australis,EV
Cassine xylocarpa,EV
Cassinia aculeata,EV
Cassinia cunninghamii,EV
Cassinia laevis,EV
Cassinia quinquefaria,EV
Cassinia vauvilliersii,EV
Cassiope stelleriana,EV
Cassiope tetragona,EV
Cassipourea elliptica,EV
Cassipourea gummiflua,EV
Cassipourea malosana,EV
Cassipourea ruwensorensis,EV
Castanea crenata,D
Castanea dentata,D
Castanea sativa,D
Castanopsis acuminatissima,EV
Castanopsis chrysophylla,EV
Castanopsis cuspidata,EV
Castanopsis fissa,EV
Castanopsis hystrix,EV
Castanopsis indica,EV
Castanopsis platyacantha,EV
Castanopsis sieboldii,EV
Castanospermum australe,EV
Castanospora alphandi,EV
Castilla elastica,D
Castilla ulei,EV
Casuarina cristata,EV
Casuarina cunninghamiana,EV
Casuarina equisetifolia,EV
Casuarina littoralis,D
Casuarina pauper,EV
Casuarina torulosa,D
Catalpa bignonioides,D
Catalpa speciosa,D
Cathedra acuminata,EV
Catostemma commune,EV
Catostemma fragrans,EV
Catunaregam nilotica,D
Catunaregam uliginosa,D
Cavanillesia hylogeiton,D
Cavanillesia platanifolia,D
Cayratia acris,EV
Cayratia clematidea,EV
Ceanothus arboreus,EV
Ceanothus cordulatus,EV
Ceanothus crassifolius,EV
Ceanothus cuneatus,EV
Ceanothus cyaneus,EV
Ceanothus divergens,EV
Ceanothus ferrisiae,EV
Ceanothus foliosus,EV
Ceanothus gloriosus,EV
Ceanothus greggii,EV
Ceanothus impressus,EV
Ceanothus incanus,EV
Ceanothus jepsonii,EV
Ceanothus lemmonii,EV
Ceanothus leucodermis,EV
Ceanothus maritimus,EV
Ceanothus megacarpus,EV
Ceanothus oliganthus,EV
Ceanothus prostratus,EV
Ceanothus purpureus,EV
Ceanothus rigidus,EV
Ceanothus sorediatus,EV
Ceanothus thyrsiflorus,EV
Ceanothus tomentosus,EV
Ceanothus velutinus,EV
Ceanothus verrucosus,EV
Cecropia concolor,EV
Cecropia ficifolia,EV
Cecropia insignis,EV
Cecropia latiloba,EV
Cecropia longipes,EV
Cecropia membranacea,EV
Cecropia obtusa,EV
Cecropia obtusifolia,EV
Cecropia peltata,EV
Cecropia sciadophylla,EV
Cecropia tessmannii,EV
Cedrela fissilis,D_EV
Cedrela odorata,D
Cedrelinga cateniformis,D
Ceiba pentandra,D
Ceiba samauma,D
Celastrus orbiculatus,D
Celastrus subspicata,EV
Celtis africana,D
Celtis australis,D
Celtis iguanaea,EV
Celtis iguanaeus,D_EV
Celtis laevigata,D
Celtis occidentalis,D
Celtis pallida,D
Celtis paniculata,EV
Celtis schippii,EV
Celtis sinensis,D
Celtis soyauxii,EV
Celtis tala,D
Celtis tenuifolia,D
Celtis timorensis,EV
Cenarrhenes nitida,EV
Centrolobium microchaete,D
Centroplacus glaucinus,EV
Cephalanthus occidentalis,D
Cephalaralia cephalobotrys,EV
Cephalaria leucantha,EV
Cephalaria squamiflora,EV
Cephalosphaera usambarensis,EV
Cerasus maximowiczii,D
Cerasus occidentalis,EV
Ceratoides lenensis,D
Ceratonia siliqua,EV
Ceratopetalum apetalum,EV
Ceratopetalum gummiferum,EV
Cerbera floribunda,EV
Cerbera manghas,EV
Cercidiphyllum japonicum,D
Cercis canadensis,D
Cercis siliquastrum,D
Cercocarpus betuloides,EV
Cercocarpus intricatus,EV
Cercocarpus ledifolius,EV
Cercocarpus montanus,EV
Cercocarpus traskiae,EV
Cereus forbesii,EV
Cereus validus,EV
Ceriops tagal,EV
Cespedesia macrophylla,EV
Cespedesia spathulata,EV
Cestrum diurnum,EV
Cestrum hirtum,EV
Cestrum latifolium,EV
Cestrum macrophyllum,EV
Cestrum megalophyllum,EV
Cestrum nocturnum,EV
Cestrum racemosum,EV
Chaetachme aristata,D
Chaetocarpus globosus,EV
Chaetocarpus schomburgkianus,EV
Chaiturus marrubiastrum,EV
Chamaecrista glandulosa,EV
Chamaecytisus prolifer,EV
Chamaecytisus proliferus,EV
Chamaedaphne calyculata,EV
Chamaedorea alternans,D
Chamaedorea elatior,EV
Chamaedorea ernesti-augusti,EV
Chamaedorea oblongata,EV
Chamaedorea pauciflora,EV
Chamaedorea pinnatifrons,EV
Chamaedorea tepejilote,EV
Chamaedorea woodsoniana,EV
Chamguava schippii,EV
Chamissoa altissima,EV
Champereia manillana,EV
Chazaliella abrupta,EV
Cheiloclinium cognatum,EV
Cheirodendron platyphyllum,EV
Cheirodendron trigynum,EV
Chelyocarpus ulei,EV
Chenopodium anidiophyllum,EV
Chenopodium auricomum,EV
Chenopodium curvispicatum,EV
Chenopodium nitrariaceum,EV
Chenopodium oahuense,EV
Chiliotrichum diffusum,EV
Chiliotrichum rosmarinifolium,EV
Chilopsis linearis,D
Chimarrhis parviflora,EV
Chimarrhis turbinata,EV
Chionanthus domingensis,EV
Chionanthus holdridgei,EV
Chionanthus peglerae,EV
Chionanthus pluriflorus,EV
Chionanthus sleumeri,EV
Chionanthus virginicus,D
Chisocheton siamensis,EV
Chloranthus glaber,EV
Chlorocardium rodiei,EV
Chlorocardium venenosum,EV
Chomelia comun,EV
Chrysobalanus icaco,EV
Chrysochlamys eclipes,EV
Chrysochlamys membranacea,EV
Chrysochlamys nicaraguensis,EV
Chrysophyllum albidum,EV
Chrysophyllum amazonicum,EV
Chrysophyllum argenteum,EV
Chrysophyllum auratum,EV
Chrysophyllum bombycinum,EV
Chrysophyllum cainito,EV
Chrysophyllum cuneifolium,EV
Chrysophyllum delevoyi,EV
Chrysophyllum glomeruliferum,EV
Chrysophyllum gonocarpum,EV
Chrysophyllum gorungosanum,EV
Chrysophyllum lucentifolium,EV
Chrysophyllum manaosense,EV
Chrysophyllum minor,EV
Chrysophyllum perpulchrum,EV
Chrysophyllum prieurii,EV
Chrysophyllum sanguinolentum,EV
Chrysophyllum tremi,EV
Chrysophyllum venezuelanense,EV
Chrysothamnus nauseosus,EV
Chuquiraga avellanedae,EV
Chuquiraga jussieui,EV
Chuquiraga straminea,EV
Cibotium chamissoi,EV
Cibotium glaucum,EV
Cibotium menziesii,EV
Cinnamomum argenteum,EV
Cinnamomum barbeyanum,EV
Cinnamomum bejolghota,EV
Cinnamomum camphora,EV
Cinnamomum chavarrianum,EV
Cinnamomum culilaban,EV
Cinnamomum daphnoides,EV
Cinnamomum iners,EV
Cinnamomum insularimontanum,EV
Cinnamomum japonicum,EV
Cinnamomum montanum,EV
Cinnamomum oliveri,EV
Cinnamomum subavenium,EV
Cinnamomum virens,EV
Cinnamomum zapatae,EV
Cinnamomum zeylanicum,EV
Cissus antarctica,EV
Cissus hypoglauca,EV
Cissus sterculifolia,EV
Cissus striata,EV
Cistus albidus,EV
Cistus clusii,EV
Cistus incanus,D
Cistus ladanifer,EV
Cistus laurifolius,EV
Cistus libanotis,EV
Cistus monspeliensis,EV
Cistus populifolius,EV
Cistus salviifolius,EV
Cistus symphytifolius,EV
Citharexylum caudatum,EV
Citharexylum fruticosum,EV
Citharexylum macradenium,EV
Citriobatus pauciflorus,EV
Citronella incarum,EV
Citronella moorei,EV
Citronella mucronata,EV
Citropsis daweana,EV
Citrus australasica,EV
Citrus paradisi,EV
Citrus sinensis,EV
Citrus tachibana,EV
Cladostemon kirkii,EV
Claoxylon australe,EV
Claoxylon indicum,EV
Clarisia biflora,EV
Clarisia ilicifolia,EV
Clarisia mexicana,EV
Clarisia racemosa,EV
Clausena anisata,EV
Clausena excavata,EV
Clavija procera,EV
Cleidion bracteosum,EV
Cleistanthus cunninghamii,EV
Cleistanthus mildbraedii,EV
Cleistanthus myrianthus,EV
Cleistanthus schlechteri,EV
Cleistocactus baumannii,EV
Cleistochlamys kirkii,EV
Cleistopholis patens,EV
Clematis aristata,EV
Clematis flammula,D
Clematis forsteri,EV
Clematis virginiana,D
Clematis vitalba,D
Clermontia montis-loa,EV
Clerodendrum floribundum,EV
Clerodendrum tomentosum,EV
Clethra acuminata,D
Clethra alexandri,EV
Clethra alnifolia,D
Clethra barbinervis,D
Clethra laevigata,EV
Clethra mexicana,D
Clethra occidentalis,D
Clethra scabra,D_EV
Cleyera integrifolia,EV
Cleyera japonica,EV
Cleyera theoides,EV
Clibadium asperum,EV
Clibadium erosum,EV
Clidemia capitellata,EV
Clidemia collina,EV
Clidemia dentata,EV
Clidemia hirta,EV
Clidemia octona,EV
Clidemia plumosa,EV
Clidemia purpureo-violacea,EV
Clidemia septuplinervia,EV
Clidemia sericea,EV
Clusia amazonica,EV
Clusia clusioides,EV
Clusia criuva,EV
Clusia flava,EV
Clusia grandiflora,EV
Clusia gundlachii,EV
Clusia havetioides,EV
Clusia minor,EV
Clusia panapanari,EV
Clusia rosea,EV
Cneorum tricoccon,EV
Cnidoscolus multilobus,EV
Coccoloba acapulcensis,EV
Coccoloba acuminata,EV
Coccoloba argentinensis,D
Coccoloba barbadensis,EV
Coccoloba coronata,EV
Coccoloba densifrons,EV
Coccoloba diversifolia,EV
Coccoloba krugii,EV
Coccoloba latifolia,EV
Coccoloba lehmannii,EV
Coccoloba liebmannii,EV
Coccoloba longifolia,EV
Coccoloba manzinellensis,EV
Coccoloba matudae,EV
Coccoloba microstachya,D_EV
Coccoloba mollis,EV
Coccoloba peruviana,EV
Coccoloba pyrifolia,EV
Coccoloba sintenisii,EV
Coccoloba swartzii,EV
Coccoloba uvifera,EV
Coccoloba warmingii,EV
Coccoloba williamsii,EV
Cochlospermum fraseri,D
Cochlospermum vitifolium,D
Codiaeum variegatum,EV
Codonanthe uleana,EV
Codonocarpus cotinifolius,EV
Coelocaryon preussii,EV
Coffea arabica,EV
Coffea canephora,EV
Coffea excelsa,EV
Coffea racemosa,EV
Cojoba catenata,EV
Cola acuminata,EV
Cola chlamydantha,EV
Cola congolana,EV
Cola cordifolia,EV
Cola flavo-velutina,EV
Cola greenwayi,EV
Cola griseiflora,EV
Cola lateritia,EV
Cola lepidota,EV
Cola minor,EV
Cola pachycarpa,EV
Cola rostrata,EV
Colliguaja odorifera,EV
Colophospermum mopane,D
Colubrina arborescens,EV
Colubrina elliptica,D
Colubrina glandulosa,EV
Colubrina spinosa,EV
Comarostaphylis arbutoides,EV
Comarostaphylis discolor,EV
Comarostaphylis diversifolia,EV
Comarostaphylis polifolia,EV
Combretum apiculatum,D
Combretum collinum,EV
Combretum exalatum,D
Combretum fruticosum,EV
Combretum glutinosum,D
Combretum hereroense,D
Combretum molle,D
Combretum mossambicense,D
Combretum nigrescens,EV
Combretum rotundifolium,D
Combretum schumannii,D
Comesperma sphaerocarpum,EV
Commersonia bartramia,EV
Commiphora africana,D
Commiphora boiviniana,D
Commiphora campestris,D
Commiphora confusa,D
Commiphora edulis,D
Commiphora engleri,D
Commiphora erythraea,D
Commiphora incisa,D
Commiphora merkeri,D
Commiphora mollis,D
Commiphora rostrata,D
Commiphora unilobata,D
Commiphora zanzibarica,D
Comocladia glabra,EV
Comocladia pinnatifolia,EV
Comocladia velutina,EV
Compsoneura capitellata,EV
Compsoneura sprucei,EV
Comptonia peregrina,D
Conceveiba guianensis,EV
Conceveiba pleiostemona,EV
Conceveiba rhytidocarpa,EV
Condalia hookeri,EV
Condalia microphylla,EV
Connarus suberosus,EV
Connarus turczaninowii,EV
Conomorpha peruviana,EV
Conospermum ellipticum,EV
Conospermum ericifolium,EV
Conospermum longifolium,EV
Conospermum taxifolium,EV
Conostegia bracteata,EV
Conostegia cinnamomea,EV
Conostegia icosandra,EV
Conostegia lasiopoda,EV
Conostegia montana,EV
Conostegia pyxidata,EV
Conostegia speciosa,EV
Conostegia xalapensis,EV
Conostephium pendulum,EV
Copaifera langsdorffii,D_EV
Copaifera mildbraedii,EV
Copaifera trapezifolia,EV
Coprosma acerosa,EV
Coprosma areolata,EV
Coprosma astonii,EV
Coprosma cheesemanii,EV
Coprosma ciliata,EV
Coprosma colensoi,EV
Coprosma crassifolia,EV
Coprosma cuneata,EV
Coprosma ernodeoides,EV
Coprosma foetidissima,EV
Coprosma grandifolia,EV
Coprosma intertexta,EV
Coprosma linariifolia,EV
Coprosma longifolia,EV
Coprosma lucida,EV
Coprosma ochracea,EV
Coprosma parviflora,EV
Coprosma petriei,EV
Coprosma propinqua,EV
Coprosma pseudocuneata,EV
Coprosma quadrifida,EV
Coprosma repens,EV
Coprosma rhamnoides,EV
Coprosma rigida,EV
Coprosma robusta,EV
Coprosma rotundifolia,EV
Coprosma rubra,EV
Coprosma rugosa,EV
Coprosma serrulata,EV
Coprosma talbrockiei,EV
Cordia africana,D
Cordia alliodora,D
Cordia bicolor,EV
Cordia borinquensis,EV
Cordia caffra,EV
Cordia dichotoma,D
Cordia dwyeri,EV
Cordia gerascanthus,D
Cordia laevigata,EV
Cordia lasiocalyx,EV
Cordia lima,EV
Cordia lomatoloba,EV
Cordia lucidula,EV
Cordia megalantha,D
Cordia nodosa,EV
Cordia ovalis,EV
Cordia panamensis,EV
Cordia rickseckeri,D
Cordia scabrida,EV
Cordia spinescens,D
Cordia stellifera,EV
Cordia subcordata,D
Cordia sulcata,D
Cordia toqueve,EV
Cordia troyana,EV
Cordia ucayaliensis,EV
Cordyla africana,EV
Cordyline congesta,EV
Cordyline petiolaris,EV
Cordyline rubra,EV
Cordyline stricta,EV
Coriaria arborea,EV
Coridothymus capitatus,EV
Coris monspeliensis,EV
Cornus alternifolia,D
Cornus amomum,D
Cornus controversa,D
Cornus disciflora,D
Cornus florida,D
Cornus glabrata,D
Cornus kousa,D
Cornus macrophylla,D
Cornus mas,D
Cornus nuttallii,D
Cornus obliqua,D
Cornus officinalis,D
Cornus racemosa,D
Cornus sanguinea,D
Cornus sericea,D
Cornutia grandifolia,EV
Corokia cotoneaster,EV
Corokia whiteana,EV
Correa reflexa,EV
Corylus americana,D
Corylus avellana,D
Corylus cornuta,D
Corylus heterophylla,D
Corylus mandshurica,D
Corylus sieboldiana,D
Corymbia foelscheana,EV
Corymbia gummifera,EV
Corymbia maculata,EV
Corymbia opaca,EV
Coscinium blumeanum,EV
Cosmibuena macrocarpa,EV
Cosmibuena skinneri,EV
Cotinus coggygria,D
Cotoneaster adpressus,D
Cotoneaster integerrimus,D
Couepia chrysocalyx,EV
Couepia glandulosa,EV
Couepia guianensis,EV
Couepia hoffmanniana,EV
Couepia latifolia,EV
Couepia macrophylla,EV
Couepia obovata,EV
Couepia parillo,EV
Couepia polyandra,EV
Coula edulis,D
Couma guianensis,EV
Couma macrocarpa,D
Couratari guianensis,D
Couratari macrosperma,EV
Couratari multiflora,EV
Couratari oblongifolia,EV
Couratari panamensis,EV
Couratari pulchra,EV
Coursetia arborea,D
Coussapoa longepedunculata,EV
Coussapoa magnifolia,EV
Coussapoa orthoneura,EV
Coussapoa ovalifolia,EV
Coussapoa panamensis,EV
Coussapoa purpusii,EV
Coussapoa trinervia,EV
Coussapoa villosa,EV
Coussarea cephaeloides,EV
Coussarea curvigemmia,EV
Coussarea hondensis,EV
Coussarea impetiolaris,EV
Coussarea klugii,EV
Coussarea obliqua,EV
Coussarea paniculata,EV
Coussarea talamancana,EV
Coussarea tenuiflora,EV
Coutarea hexandra,EV
Cowania mexicana,EV
Craibia brevicaudata,EV
Craibia zimmermannii,EV
Crassula rupestris,EV
Crataegus columbiana,D
Crataegus crus-galli,D
Crataegus cuneata,D
Crataegus curvisepala,D
Crataegus douglasii,D
Crataegus laevigata,D
Crataegus macrocarpa,D
Crataegus mollis,D
Crataegus monogyna,D
Crataegus nitida,D
Crataegus pedicellata,D
Crataegus phaenopyrum,D
Crataegus pubescens,D
Crataegus punctata,D
Craterispermum cerinanthum,EV
Crateva benthamii,D
Crepidospermum rhoifolium,EV
Crescentia cujete,EV
Crossopetalum parviflorum,EV
Crossopetalum rhacoma,D_EV
Crossopteryx febrifuga,D
Croton billbergianus,EV
Croton draco,EV
Croton eluteria,EV
Croton humilis,D
Croton lanjouwensis,EV
Croton lechleri,EV
Croton margaritensis,EV
Croton matourensis,EV
Croton megalocarpus,EV
Croton migrans,EV
Croton peralatum,EV
Croton poecilanthus,EV
Croton pseudopulchellus,EV
Croton schiedeanus,EV
Croton steenkampianus,EV
Croton sylvaticus,EV
Croton verreauxii,EV
Croton xanthochloros,D
Crowea saligna,EV
Crudia gabonensis,EV
Crudia glaberrima,EV
Crudia harmsiana,EV
Crudia oblonga,EV
Cryptandra amara,EV
Cryptandra ericoides,EV
Cryptandra leucophracta,EV
Cryptandra scoparia,EV
Cryptandra scortechinii,EV
Cryptocarya alba,EV
Cryptocarya aschersoniana,EV
Cryptocarya chinensis,EV
Cryptocarya erythroxylon,EV
Cryptocarya foetida,EV
Cryptocarya foveolata,EV
Cryptocarya fusca,EV
Cryptocarya glaucescens,EV
Cryptocarya grafitti,EV
Cryptocarya laevigata,EV
Cryptocarya mackinnoniana,EV
Cryptocarya meisneriana,EV
Cryptocarya microneura,EV
Cryptocarya murrayi,EV
Cryptocarya obovata,EV
Cryptocarya pleurosperma,EV
Cryptocarya rigida,EV
Cryptocarya triplinervis,EV
Cryptocarya yunnanensis,EV
Cudrania cochinchinensis,EV
Cudrania tricuspidata,D
Cunonia capensis,EV
Cupania cinerea,EV
Cupania dentata,EV
Cupania glabra,EV
Cupania latifolia,EV
Cupania livida,EV
Cupania macrophylla,EV
Cupania oblongifolia,EV
Cupania rufescens,EV
Cupania sylvatica,EV
Cupaniopsis anacardioides,EV
Cupaniopsis flagelliformis,EV
Cupaniopsis newmanii,EV
Curatella americana,EV
Curtisia dentata,EV
Cussonia spicata,EV
Cuttsia viburnea,EV
Cyathea cooperi,EV
Cyathea pycnoneura,EV
Cyathodes colensoi,EV
Cyathodes empetrifolia,EV
Cyathodes juniperina,EV
Cybianthus schlimii,EV
Cycas apoa,EV
Cycas arnhemica,EV
Cycas badensis,EV
Cycas basaltica,EV
Cycas beddomei,EV
Cycas bougainvilleana,EV
Cycas brachycantha,EV
Cycas brunnea,EV
Cycas cairnsiana,EV
Cycas calcicola,EV
Cycas campestris,EV
Cycas canalis,EV
Cycas chamaoensis,EV
Cycas chamberlainii,EV
Cycas changjiangensis,EV
Cycas chevalieri,EV
Cycas clivicola,EV
Cycas collina,EV
Cycas condaoensis,EV
Cycas conferta,EV
Cycas couttsiana,EV
Cycas cupida,EV
Cycas curranii,EV
Cycas debaoensis,EV
Cycas desolata,EV
Cycas diannanensis,EV
Cycas dilatata,EV
Cycas dolichophylla,EV
Cycas edentata,EV
Cycas elongata,EV
Cycas falcata,EV
Cycas ferruginea,EV
Cycas furfuracea,EV
Cycas guizhouensis,EV
Cycas hainanensis,EV
Cycas hoabinhensis,EV
Cycas hongheensis,EV
Cycas lindstromii,EV
Cycas litoralis,EV
Cycas maconochiei,EV
Cycas macrocarpa,EV
Cycas megacarpa,EV
Cycas micholitzii,EV
Cycas micronesica,EV
Cycas miquelii,EV
Cycas multifrondis,EV
Cycas multipinnata,EV
Cycas nathorstii,EV
Cycas nongnoochiae,EV
Cycas ophiolitica,EV
Cycas orientis,EV
Cycas pachypoda,EV
Cycas panzhihuaensis,EV
Cycas papuana,EV
Cycas petrae,EV
Cycas platyphylla,EV
Cycas pranburiensis,EV
Cycas pruinosa,EV
Cycas riuminiana,EV
Cycas schumanniana,EV
Cycas scratchleyana,EV
Cycas seemannii,EV
Cycas segmentifida,EV
Cycas semota,EV
Cycas siamensis,EV
Cycas silvestris,EV
Cycas simplicipinna,EV
Cycas taitungensis,EV
Cycas taiwaniana,EV
Cycas tanqingii,EV
Cycas tansachana,EV
Cycas tropophylla,EV
Cycas tuckeri,EV
Cycas wadei,EV
Cycas xipholepis,EV
Cycas yorkiana,EV
Cycas zeylanica,EV
Cyclolepis genistoides,EV
Cyclophyllum longipetalum,EV
Cydista aequinoctialis,EV
Cydonia oblonga,D
Cylicodiscus gabunensis,D
Cymbopetalum baillonii,EV
Cymbopetalum costaricense,EV
Cymbopetalum torulosum,EV
Cynanchum lancifolium,EV
Cynometra alexandri,EV
Cynometra bauhiniifolia,EV
Cynometra hankei,EV
Cynometra retusa,EV
Cynometra webberi,EV
Cyphomandra hartwegii,EV
Cyrilla racemiflora,EV
Cyrtogonone argentea,EV
Cytisus scoparius,EV
Dacrycarpus dacrydioides,EV
Dacrycarpus steupii,EV
Dacrydium cupressinum,EV
Dacryodes edulis,EV
Dacryodes excelsa,EV
Dalbergia armata,D
Dalbergia hupeana,D
Dalbergia lactea,D
Dalbergia nitidula,D
Dalbergia retusa,D
Dalbergia sissoo,D
Damnacanthus indicus,EV
Damnacanthus macrophyllus,EV
Damnacanthus major,EV
Dampiera linearis,EV
Dampiera scottiana,EV
Dampiera stricta,EV
Daniellia klainei,EV
Daniellia oliveri,EV
Daphnandra tenuipes,EV
Daphne gnidium,EV
Daphne koreana,D
Daphne mezereum,D
Daphniphyllum macropodum,EV
Daphniphyllum teysmannii,EV
Daphnopsis americana,EV
Daphnopsis occidentalis,EV
Daphnopsis philippiana,EV
Darwinia fascicularis,EV
Darwinia grandiflora,EV
Dasylepis integra,D
Dasyphyllum diacanthoides,EV
Datura suaveolens,D
Davidsonia jerseyana,EV
Daviesia ulicifolia,EV
Davilla rugosa,EV
Debregeasia edulis,D
Decaphalangium peruvianum,EV
Decaspermum fruticosum,EV
Decaspermum humile,EV
Deherainia smaragdina,EV
Delonix elata,D
Delonix regia,D
Dendrobangia boliviana,EV
Dendrocnide excelsa,EV
Dendrocnide moroides,EV
Dendrocnide photinophylla,EV
Dendromecon rigidum,EV
Dendropanax arboreus,EV
Dendropanax pendulus,EV
Dendropanax querceti,EV
Dendropanax stenodontus,EV
Dendropanax trifidus,EV
Denhamia celastroides,EV
Derris involuta,EV
Desmodium caudatum,D
Desmodium sandwicense,EV
Desmoncus polyacanthos,EV
Desmopsis microcarpa,EV
Desmopsis panamensis,EV
Desplatsia dewevrei,EV
Detarium microcarpum,D
Dialium guianense,D
Dialium holtzii,EV
Dialium orientale,EV
Dialium pachyphyllum,EV
Dialium schlechteri,EV
Dialium soyauxii,EV
Dianthus charidemi,EV
Diapensia lapponica,EV
Diastella divaricata,EV
Dichapetalum angolense,EV
Dichapetalum axillare,EV
Dichapetalum mombuttense,EV
Dichapetalum spruceanum,EV
Dichostemma glaucescens,EV
Dicorynia guianensis,EV
Dicranopteris linearis,EV
Dictyandra arborescens,EV
Dillenia biflora,EV
Dillenia excelsa,EV
Dillenia indica,EV
Dillwynia floribunda,EV
Dillwynia juniperina,EV
Dillwynia retorta,EV
Dillwynia rudis,EV
Dillwynia sericea,EV
Dilodendron elegans,EV
Dimocarpus dentatus,EV
Dimocarpus longan,EV
Dimorphanthera denticulifera,EV
Dimorphocalyx murinus,EV
Dioclea wilsonii,EV
Diogoa zenkeri,EV
Diospyros abyssinica,EV
Diospyros alboflavescens,EV
Diospyros artanthifolia,EV
Diospyros atropurpurea,EV
Diospyros australis,EV
Diospyros barteri,EV
Diospyros bipindensis,EV
Diospyros boala,EV
Diospyros brucei,EV
Diospyros canaliculata,EV
Diospyros cinnabarina,EV
Diospyros confertiflora,EV
Diospyros crassiflora,EV
Diospyros cuneata,D
Diospyros digyna,EV
Diospyros durionoides,EV
Diospyros elliptifolia,EV
Diospyros embryopteris,EV
Diospyros fasciculosa,EV
Diospyros ferrea,EV
Diospyros hasseltii,EV
Diospyros inhacaensis,EV
Diospyros kaki,D
Diospyros lotus,D
Diospyros mannii,EV
Diospyros melanida,EV
Diospyros melanoxylon,D
Diospyros melinoni,EV
Diospyros mespiliformis,EV
Diospyros morrisiana,EV
Diospyros natalensis,EV
Diospyros pentamera,EV
Diospyros poeppigiana,EV
Diospyros senensis,D
Diospyros suaveolens,EV
Diospyros subrotata,EV
Diospyros sumatrana,EV
Diospyros tetrasperma,EV
Diospyros texana,D
Diospyros virginiana,D
Diospyros whyteana,EV
Diospyros xanthochlamys,EV
Diospyros xishuangbannaensis,EV
Diospyros zombensis,EV
Diplazium sandwichianum,EV
Diploblechnum fraseri,EV
Diploglottis australis,EV
Diploon cuspidatum,EV
Diplorhynchus condylocarpon,D
Diplospora malaccensis,EV
Diplostephium rupestre,EV
Diplotropis purpurea,EV
Dipterocarpus applanatus,EV
Dipterocarpus gracilis,EV
Dipterocarpus sublamellatus,EV
Dipteronia sinensis,D
Dipteryx micrantha,EV
Dipteryx odorata,EV
Dipteryx panamensis,D
Dirca occidentalis,D
Dirca palustris,D
Discaria articulata,D_EV
Discaria chacaye,D
Discaria discolor,EV
Discaria serratifolia,EV
Discaria toumatou,EV
Discoglypremna caloneura,EV
Discophora guianensis,EV
Dissocarpus paradoxus,EV
Distemonanthus benthamianus,D
Distylium racemosum,EV
Dittrichia viscosa,EV
Dodonaea attenuata,EV
Dodonaea filifolia,EV
Dodonaea peduncularis,EV
Dodonaea triangularis,EV
Dodonaea triquetra,EV
Dodonaea viscosa,EV
Dombeya kirkii,EV
Dorycnium pentaphyllum,EV
Doryphora aromatica,EV
Doryphora sassafras,EV
Dovyalis abyssinica,D
Dovyalis longispina,EV
Dovyalis macrocalyx,D
Dracontomelon macrocarpum,EV
Dracophyllum filifolium,EV
Dracophyllum longifolium,EV
Dracophyllum palustre,EV
Dracophyllum pronum,EV
Dracophyllum prostratum,EV
Dracophyllum pubescens,EV
Dracophyllum recurvum,EV
Dracophyllum strictum,EV
Dracophyllum subulatum,EV
Dracophyllum uniflorum,EV
Drapetes ericoides,EV
Drimys brasiliensis,EV
Drimys granadensis,EV
Drimys insipida,EV
Drimys lanceolata,EV
Drimys piperita,EV
Drimys winteri,EV
Dryas integrifolia,EV
Dryas octopetala,EV
Dryobalanops aromatica,EV
Dryobalanops lanceolata,EV
Drypetes alba,EV
Drypetes amazonica,EV
Drypetes angustifolia,EV
Drypetes arguta,EV
Drypetes cumingii,EV
Drypetes deplanchei,EV
Drypetes dinklagei,EV
Drypetes gerrardii,EV
Drypetes glauca,EV
Drypetes gossweileri,EV
Drypetes lateriflora,EV
Drypetes molunduana,EV
Drypetes natalensis,EV
Drypetes paxii,EV
Drypetes reticulata,EV
Drypetes standleyi,EV
Drypetes usambarica,EV
Drypetes variabilis,D
Duabanga moluccana,EV
Dubautia ciliolata,EV
Dubautia scabra,EV
Duboisia hopwoodii,EV
Duboisia myoporoides,EV
Duguetia furfuracea,EV
Duguetia hadrantha,EV
Duguetia odorata,EV
Duguetia quitarensis,EV
Duguetia spixiana,EV
Duguetia surinamensis,EV
Dulacia candida,EV
Duosperma kilimandscharicum,EV
Durio kutejensis,EV
Durio zibethinus,EV
