Family	Binomial	A
Papaveraceae	Argemone_turnerae	0.00107521
Aristolochiaceae	Aristolochia_californica	0.006082123
Aristolochiaceae	Aristolochia_griffithii	0.002042821
Aristolochiaceae	Aristolochia_iquitensis	0.005674502
Aristolochiaceae	Aristolochia_islandica	0.001320254
Aristolochiaceae	Aristolochia_sipho	0.003525652
Aristolochiaceae	Aristolochia_triactina	0.019807742
Elaeocarpaceae	Aristotelia_fruticosa	0.000615752
Elaeocarpaceae	Aristotelia_serrata	0.001520531
Bignoniaceae	Arrabidaea_chica	0.004417865
Bignoniaceae	Arrabidaea_patellifera	0.002733971
Bignoniaceae	Arrabidaea_triplinervia	0.015174678
Asteraceae	Artemisia_monosperma	0.001590431
Amaranthaceae	Arthrocnemum_macrostachyum	0.000706858
Amaranthaceae	Arthrocnemum_perenne	0.000706858
Moraceae	Artocarpus_sp	0.055154586
Sapindaceae	Arytera_littoralis	0.007697687
Aristolochiaceae	Asarum_hartwegii	0.001134115
Chloranthaceae	Ascarina_lucida	0.001661903
Apocynaceae	Aspidosperma_polyneuron	0.002375829
Apocynaceae	Aspidosperma_quebracho-blanco	0.020106193
Lauraceae	Aspidostemon_sp	0.010935884
Anacardiaceae	Astronium_sp	0.012271846
Anacardiaceae	Astronium_urundeuva	0.009503318
Amaranthaceae	Atriplex_halimus	0.002642079
Burseraceae	Aucoumea_klaineana	0.020106193
Garryaceae	Aucuba_chinensis	0.000754768
Garryaceae	Aucuba_himalaica	0.001017876
Garryaceae	Aucuba_japonica	0.00066052
Sapotaceae	Autranella_congolensis	0.012271846
Acanthaceae	Avicennia_marina	0.003117245
Meliaceae	Azadirachta_sp	0.028352874
Moraceae	Bagassa_guianensis	0.045238934
Fabaceae	Baikiaea_plurijuga	0.003848451
Sapotaceae	Baillonella_toxisperma	0.013273229
Zygophyllaceae	Balanites_aegyptiaca	0.009120436
Rutaceae	Balfourodendron_riedelianum	0.005554336
Theaceae	Balthasaria_schliebenii	0.004778362
Fabaceae	Baphia_sp	0.007853982
Fabaceae	Baphiastrum_sp	0.012867964
Acanthaceae	Barleria_her	0.000706858
Amaranthaceae	Bassia_arabica	0.000490874
Malvaceae	Bastardiopsis_densiflora	0.009503318
Fabaceae	Bauhinia_rufescens	0.004417865
Fabaceae	Bauhinia_sp	0.012271846
Lauraceae	Beilschmiedia_brasiliensis	0.012667687
Lauraceae	Beilschmiedia_emarginata	0.015836769
Lauraceae	Beilschmiedia_rigida	0.022431757
Lauraceae	Beilschmiedia_tarairi	0.008494867
Lauraceae	Beilschmiedia_taubertiana	0.010568318
Lauraceae	Beilschmiedia_tawa	0.005674502
Rhamnaceae	Berchemia_racemosa	0.011309734
Rhamnaceae	Berchemiella_berchemiaefolia	0.023506182
Fabaceae	Berlinia_sp	0.024317498
Lecythidaceae	Bertholletia_excelsa	0.028352874
Betulaceae	Betula_alnoides	0.007542964
Betulaceae	Betula_nana	0.000116899
Betulaceae	Betula_pendula	0.000774795
Betulaceae	Betula_pubescens	0.000489543
Betulaceae	Betula_sp	0.006361725
Betulaceae	Betula_tortuosa	0.000246057
Betulaceae	Betula_utilis	0.003525652
Celastraceae	Bhesa_sinica	0.006361725
Sapindaceae	Billia_columbiana	0.007853982
Sapindaceae	Billia_hippocastanum	0.007853982
Euphorbiaceae	Bischofia_javanica	0.017671459
Bixaceae	Bixa_arborea	0.013273229
